generation,best,mean,worst
734,77.492495,80.326699,128.657920
735,77.492495,79.412179,116.183749
736,77.492495,79.542560,122.363841
737,77.492495,80.679119,131.820171
738,77.492495,79.057958,121.226669
739,77.492495,79.724161,137.088029
740,77.492495,79.359391,131.820171
741,77.492495,80.029600,137.088029
742,77.492495,78.973337,129.503998
743,77.492495,78.690077,109.907939
744,77.492495,80.744485,129.508801
745,77.492495,79.929881,117.816101
746,77.492495,79.521644,120.125024
747,77.492495,80.604167,126.618868
748,77.492495,79.611717,119.292758
749,77.492495,78.151279,108.306248
750,77.492495,79.829971,131.820171
751,77.492495,78.982416,120.042316
752,77.492495,78.085062,97.346012
753,77.492495,78.249312,97.346012
754,77.492495,78.044199,99.049441
755,77.492495,78.877644,128.657920
756,77.492495,79.125119,122.779051
757,77.492495,79.849101,120.820235
758,77.492495,80.040316,137.088029
759,77.492495,78.118322,106.044680
760,77.492495,79.411070,117.711241
761,77.492495,77.914600,104.970461
762,77.492495,80.697638,121.226669
763,77.492495,80.441093,129.508801
764,77.492495,79.551249,128.711414
765,77.492495,79.373373,117.559636
766,77.492495,79.341195,137.088029
767,77.492495,79.967716,125.394280
768,77.492495,78.966525,126.618868
769,77.492495,79.281412,106.044680
770,77.492495,79.823864,137.088029
771,77.492495,79.255098,133.329423
772,77.492495,79.163696,125.394280
773,77.492495,80.200002,128.711414
774,77.492495,78.990218,116.131677
775,77.492495,79.929205,133.329423
776,77.492495,78.595419,99.079922
777,77.492495,79.510900,131.820171
778,77.492495,79.124192,119.939074
779,77.492495,79.306099,125.394280
780,77.492495,79.104950,127.862798
781,77.492495,79.345523,117.911588
782,77.492495,80.451337,129.508801
783,77.492495,80.602118,137.088029
784,77.492495,79.453006,109.407080
785,77.492495,78.314215,106.044680
786,77.492495,81.062028,128.711414
787,77.492495,79.242660,128.657920
788,77.492495,79.701362,125.957430
789,77.492495,78.554802,119.292758
790,77.492495,78.928230,128.711414
791,77.492495,79.498656,129.508801
792,77.492495,79.984472,129.508801
793,77.492495,82.022637,128.657920
794,77.492495,78.830555,125.394280
795,77.492495,80.450792,122.071227
796,77.492495,82.898387,133.329423
797,77.492495,78.946390,137.088029
798,77.492495,80.179787,127.862798
799,77.492495,80.863889,127.862798
800,77.492495,79.711276,117.559636
801,77.492495,79.357698,129.508801
802,77.492495,79.198558,125.394280
803,77.492495,79.907401,119.939074
804,77.492495,79.772784,125.394280
805,77.492495,81.049793,129.508801
806,77.492495,79.190540,122.363841
807,77.492495,79.302217,120.125024
808,77.492495,79.113326,109.907939
809,77.492495,79.297105,124.751714
810,77.492495,79.271936,122.363841
811,77.492495,80.146114,127.862798
812,77.492495,79.055642,127.862798
813,77.492495,79.112696,119.292758
814,77.492495,78.425595,129.503998
815,77.492495,78.906150,110.498020
816,77.492495,79.408891,137.088029
817,77.492495,81.851520,137.088029
818,77.492495,80.261534,129.503998
819,77.492495,78.546023,129.508801
