generation,best,mean,worst
373,77.697818,79.590312,131.738670
374,77.697818,79.985783,136.795177
375,77.697818,80.178200,136.795177
376,77.697818,79.726859,127.074412
377,77.697818,79.189026,132.787471
378,77.697818,79.039140,129.818865
379,77.697818,79.235164,126.053670
380,77.697818,79.678624,125.950610
381,77.697818,79.313832,131.738670
382,77.697818,79.381808,125.950610
383,77.697818,79.767786,127.780184
384,77.697818,79.487457,129.818865
385,77.697818,79.773906,131.488840
386,77.697818,79.641342,136.795177
387,77.697818,79.901579,132.787471
388,77.697818,79.215847,127.780184
389,77.697818,79.767930,136.795177
390,77.697818,79.527042,126.053670
391,77.697818,80.507238,136.795177
392,77.697818,79.960543,136.795177
393,77.697818,80.017324,131.488840
394,77.697818,80.312140,136.795177
395,77.697818,79.523883,127.371299
396,77.697818,80.595854,136.795177
397,77.697818,79.945684,131.488840
398,77.697818,79.356109,124.108231
399,77.697818,79.851972,136.795177
400,77.697818,79.637954,131.488840
401,77.697818,79.741556,132.787471
402,77.697818,80.173035,132.787471
403,77.697818,79.414783,127.780184
404,77.697818,80.012235,136.795177
405,77.697818,79.466151,131.604882
406,77.697818,79.534710,132.787471
407,77.697818,80.383650,129.818865
408,77.697818,79.457153,125.102866
409,77.697818,79.796453,132.787471
410,77.697818,79.656587,131.738670
411,77.697818,79.540630,131.488840
412,77.697818,79.895573,127.371299
413,77.697818,80.126751,122.261851
414,77.697818,79.414418,132.787471
415,77.697818,80.190722,132.787471
416,77.697818,79.327541,127.780184
417,77.697818,79.866850,129.818865
418,77.697818,79.906048,136.795177
419,77.697818,79.556778,136.795177
420,77.697818,79.811284,136.795177
421,77.697818,79.236886,132.787471
422,77.697818,79.904055,127.780184
423,77.697818,79.142410,126.053670
424,77.697818,79.189996,131.738670
425,77.697818,79.835697,127.780184
426,77.697818,79.349843,127.371299
427,77.697818,79.823140,124.108231
428,77.697818,79.833882,131.738670
429,77.697818,79.298458,131.488840
430,77.697818,79.208231,125.950610
431,77.697818,80.577901,132.787471
432,77.697818,79.257903,132.787471
433,77.697818,79.057756,131.488840
434,77.697818,79.300764,131.738670
435,77.697818,79.818640,129.818865
436,77.697818,80.363826,129.818865
437,77.697818,79.888440,131.488840
438,77.697818,79.963817,136.795177
439,77.697818,79.737532,127.371299
440,77.697818,80.199217,136.795177
441,77.697818,79.861005,131.488840
442,77.697818,80.158409,132.787471
443,77.697818,79.760636,136.795177
444,77.697818,79.760956,129.818865
445,77.697818,79.100836,125.950610
446,77.697818,79.726143,136.795177
447,77.697818,79.352013,136.795177
448,77.697818,80.075781,136.795177
449,77.697818,79.211576,129.818865
450,77.697818,79.608326,124.108231
451,77.697818,79.806219,132.787471
452,77.697818,79.517908,132.787471
453,77.697818,79.554391,127.780184
454,77.697818,79.205575,131.488840
455,77.697818,79.210947,127.074412
456,77.697818,79.672735,132.787471
457,77.697818,79.774084,125.950610
458,77.697818,79.067875,129.818865
459,77.697818,79.792533,136.795177
460,77.697818,79.250195,131.738670
461,77.697818,79.707866,131.488840
462,77.697818,79.136041,132.787471
463,77.697818,79.279772,126.053670
464,77.697818,79.652567,136.795177
465,77.697818,79.158809,132.787471
466,77.697818,79.408205,127.780184
467,77.697818,79.561440,127.780184
468,77.697818,79.753102,131.488840
469,77.697818,79.353235,124.108231
470,77.697818,80.129473,127.780184
471,77.697818,79.257719,136.795177
472,77.697818,80.279325,131.738670
473,77.697818,79.586516,131.738670
474,77.697818,79.732947,129.818865
475,77.697818,79.833470,136.795177
476,77.697818,79.918711,131.738670
477,77.697818,79.704664,124.108231
478,77.697818,79.144846,127.780184
479,77.697818,79.661018,127.780184
480,77.697818,79.621587,132.787471
481,77.697818,79.408425,127.371299
482,77.697818,79.796503,131.738670
483,77.697818,80.264042,131.738670
484,77.697818,79.555919,136.795177
485,77.697818,79.492955,127.371299
486,77.697818,79.181219,126.053670
487,77.697818,79.096082,127.780184
488,77.697818,79.730428,131.488840
489,77.697818,79.354977,127.074412
490,77.697818,78.840673,132.787471
491,77.697818,79.854762,127.371299
492,77.697818,79.558143,126.053670
493,77.697818,79.318323,127.780184
494,77.697818,79.595370,131.738670
495,77.697818,79.610999,131.738670
496,77.697818,79.902841,132.787471
497,77.697818,79.446582,131.738670
498,77.697818,79.496507,129.818865
499,77.697818,79.395357,127.780184
500,77.697818,79.701769,131.488840
501,77.697818,79.629196,125.950610
502,77.697818,80.205294,127.780184
503,77.697818,79.532933,131.488840
504,77.697818,79.985029,132.787471
505,77.697818,79.547580,131.738670
506,77.697818,79.574527,131.738670
507,77.697818,79.617374,131.738670
508,77.697818,79.640922,127.780184
509,77.697818,79.699323,140.200087
510,77.697818,79.273057,126.053670
511,77.697818,79.278948,127.371299
512,77.697818,79.519378,136.795177
513,77.697818,79.757208,136.795177
514,77.697818,79.360201,136.795177
515,77.697818,79.480214,131.488840
516,77.697818,79.754972,129.818865
517,77.697818,79.723883,132.787471
518,77.697818,79.289414,127.074412
519,77.697818,79.522431,132.787471
520,77.697818,79.903418,127.371299
521,77.697818,79.904502,131.738670
522,77.697818,80.355198,132.787471
523,77.697818,79.652588,136.795177
